Year,Month,GDP_nominal,GDP_real,Price_index
2000,3,1572.9069028050262,157290.69028050263,1
2000,4,1707.976279132486,170797.6279132486,1
2000,5,1726.5422643393654,172654.22643393654,1
2000,6,1743.2326490971918,174323.26490971918,1
2000,7,1635.4262240775402,163542.622407754,1
2000,8,1779.3337799519622,177933.37799519624,1
2000,9,1786.6231073920103,178662.31073920103,1
2000,10,1780.1789970692469,178017.89970692468,1
2000,11,1774.0422396552156,177404.22396552155,1
2000,12,1714.4356258215014,171443.56258215013,1
2001,1,1658.4559462396,165845.59462396,1
2001,2,1587.0659915811254,158706.59915811254,1
2001,3,1570.8595525176397,157085.95525176398,1
2001,4,-349.6975802793359,-34969.75802793359,1
2001,5,-305.19761613824005,-30519.761613824005,1
2001,6,-382.63676438750446,-38263.676438750445,1
2001,7,-447.9792343555936,-44797.92343555936,1
2001,8,-379.16223537091685,-37916.22353709168,1
2001,9,-589.6799767619475,-58967.99767619475,1
2001,10,-541.087667857111,-54108.7667857111,1
2001,11,-574.751517984869,-57475.1517984869,1
2001,12,-409.0627364736491,-40906.27364736491,1
2002,1,-431.41053265188026,-43141.05326518803,1
2002,2,-515.6541158480593,-51565.41158480593,1
2002,3,-491.8686953905785,-49186.86953905785,1
2002,4,-470.22648060791585,-47022.64806079159,1
2002,5,-496.6316808284822,-49663.16808284822,1
2002,6,-494.0125053807365,-49401.250538073655,1
2002,7,-461.97016359313653,-46197.01635931365,1
2002,8,-554.3538647941145,-55435.386479411456,1
2002,9,-546.7768183121188,-54677.681831211885,1
2002,10,-577.6322334755855,-57763.22334755855,1
2002,11,-560.8963196129606,-56089.63196129606,1
2002,12,-553.2462860526736,-55324.62860526735,1
2003,1,-555.5373421231786,-55553.73421231786,1
2003,2,-471.5896971529547,-47158.969715295476,1
2003,3,-563.1945604703945,-56319.45604703946,1
2003,4,-520.6191414039879,-52061.91414039879,1
2003,5,-579.652649282133,-57965.2649282133,1
2003,6,-1146.8462934332897,-114684.62934332897,1
2003,7,-1084.7872831859027,-108478.72831859026,1
2003,8,-1053.839827868445,-105383.98278684448,1
2003,9,-982.7671368093067,-98276.71368093067,1
2003,10,-957.2534193369677,-95725.34193369676,1
2003,11,-934.6598847798599,-93465.98847798599,1
2003,12,-953.5757424664298,-95357.57424664298,1
2004,1,-972.348201725124,-97234.8201725124,1
2004,2,-869.5204718843779,-86952.04718843779,1
2004,3,-828.6377622726488,-82863.77622726488,1
2004,4,-872.1172822183764,-87211.72822183765,1
2004,5,-792.0602410499957,-79206.02410499957,1
2004,6,-879.8478480959689,-87984.78480959688,1
2004,7,-739.7063126847034,-73970.63126847034,1
2004,8,-759.888844144661,-75988.8844144661,1
2004,9,-788.1056518043074,-78810.56518043074,1
2004,10,-682.0589449920783,-68205.89449920783,1
2004,11,-700.2389330363802,-70023.89330363802,1
2004,12,-674.2168252657048,-67421.68252657048,1
2005,1,-507.98383100847445,-50798.383100847444,1
2005,2,-540.2521595931125,-54025.21595931125,1
2005,3,-495.91302823339925,-49591.30282333992,1
2005,4,-465.74796068356187,-46574.79606835619,1
2005,5,-517.1528789048126,-51715.28789048126,1
2005,6,-426.79173147125607,-42679.173147125606,1
2005,7,-420.10246695696304,-42010.2466956963,1
2005,8,-344.13403393600925,-34413.40339360092,1
2005,9,-382.1593809824665,-38215.93809824665,1
2005,10,-286.26345667043796,-28626.345667043795,1
2005,11,-255.72220957398005,-25572.220957398004,1
2005,12,-149.93358826719066,-14993.358826719066,1
2006,1,-147.2575413240919,-14725.75413240919,1
2006,2,-120.79201731879368,-12079.201731879368,1
2006,3,5.994035174578869,599.4035174578869,1
2006,4,-36.10633241794574,-3610.6332417945737,1
2006,5,8.156931329460463,815.6931329460463,1
2006,6,2.381877842761469,238.18778427614689,1
2006,7,-55.17744145215778,-5517.744145215778,1
2006,8,11.742024870697264,1174.2024870697264,1
